КБК	Налог
18210101011011000110	Прибыль
18210101011012100110	Прибыль
18210101011012200110	Прибыль
18210101011013000110	Прибыль
18210101011014000110	Прибыль
18210101011015000110	Прибыль
18210101012021000110	Прибыль
18210101012022100110	Прибыль
18210101012022200110	Прибыль
18210101012023000110	Прибыль
18210101012024000110	Прибыль
18210101012025000110	Прибыль
18210101013011000110	Прибыль
18210101013012100110	Прибыль
18210101013012200110	Прибыль
18210101013013000110	Прибыль
18210101013014000110	Прибыль
18210101013015000110	Прибыль
18210101014021000110	Прибыль
18210101014022100110	Прибыль
18210101014022200110	Прибыль
18210101014023000110	Прибыль
18210101014024000110	Прибыль
18210101014025000110	Прибыль
18210101015011000110	Прибыль
18210101015012100110	Прибыль
18210101015012200110	Прибыль
18210101015013000110	Прибыль
18210101015014000110	Прибыль
18210101015015000110	Прибыль
18210101016021000110	Прибыль
18210101016022100110	Прибыль
18210101016022200110	Прибыль
18210101016023000110	Прибыль
18210101016024000110	Прибыль
18210101016025000110	Прибыль
18210101021011000110	Прибыль
18210101021012100110	Прибыль
18210101021012200110	Прибыль
18210101021013000110	Прибыль
18210101021014000110	Прибыль
18210101021015000110	Прибыль
18210101022021000110	Прибыль
18210101022022100110	Прибыль
18210101022022200110	Прибыль
18210101022023000110	Прибыль
18210101022024000110	Прибыль
18210101022025000110	Прибыль
18210101023011000110	Прибыль
18210101023012100110	Прибыль
18210101023012200110	Прибыль
18210101023013000110	Прибыль
18210101023014000110	Прибыль
18210101023015000110	Прибыль
18210101024011000110	Прибыль
18210101024012100110	Прибыль
18210101024012200110	Прибыль
18210101024013000110	Прибыль
18210101024014000110	Прибыль
18210101024015000110	Прибыль
18210101030011000110	Прибыль
18210101030012100110	Прибыль
18210101030012200110	Прибыль
18210101030013000110	Прибыль
18210101030014000110	Прибыль
18210101030015000110	Прибыль
18210101040011000110	Прибыль
18210101040012100110	Прибыль
18210101040012200110	Прибыль
18210101040013000110	Прибыль
18210101040014000110	Прибыль
18210101040015000110	Прибыль
18210101050011000110	Прибыль
18210101050012100110	Прибыль
18210101050012200110	Прибыль
18210101050013000110	Прибыль
18210101050014000110	Прибыль
18210101050015000110	Прибыль
18210101060011000110	Прибыль
18210101060012100110	Прибыль
18210101060012200110	Прибыль
18210101060013000110	Прибыль
18210101060014000110	Прибыль
18210101060015000110	Прибыль
18210101070011000110	Прибыль
18210101070012100110	Прибыль
18210101070012200110	Прибыль
18210101070013000110	Прибыль
18210101070014000110	Прибыль
18210101070015000110	Прибыль
18210101080011000110	Прибыль
18210101080012100110	Прибыль
18210101080012200110	Прибыль
18210101080013000110	Прибыль
18210101080014000110	Прибыль
18210101080015000110	Прибыль
18210101090011000110	Прибыль
18210101090012100110	Прибыль
18210101090012200110	Прибыль
18210101090013000110	Прибыль
18210101090014000110	Прибыль
18210101090015000110	Прибыль
18210102010011000110	НДФЛ
18210102010012100110	НДФЛ
18210102010012200110	НДФЛ
18210102010013000110	НДФЛ
18210102010014000110	НДФЛ
18210102010015000110	НДФЛ
18210102020011000110	НДФЛ
18210102020012100110	НДФЛ
18210102020012200110	НДФЛ
18210102020013000110	НДФЛ
18210102020014000110	НДФЛ
18210102020015000110	НДФЛ
18210102030011000110	НДФЛ
18210102030012100110	НДФЛ
18210102030012200110	НДФЛ
18210102030013000110	НДФЛ
18210102030014000110	НДФЛ
18210102030015000110	НДФЛ
18210102040011000110	НДФЛ
18210102040014000110	НДФЛ
18210102040015000110	НДФЛ
18210102050011000110	НДФЛ
18210102050012100110	НДФЛ
18210102050012200110	НДФЛ
18210102050013000110	НДФЛ
18210102050014000110	НДФЛ
18210102050015000110	НДФЛ
18210102060011000110	НДФЛ
18210102060012100110	НДФЛ
18210102060012200110	НДФЛ
18210102060013000110	НДФЛ
18210102060014000110	НДФЛ
18210102060015000110	НДФЛ
18210102070011000110	НДФЛ
18210102070012100110	НДФЛ
18210102070012200110	НДФЛ
18210102070013000110	НДФЛ
18210102070014000110	НДФЛ
18210102070015000110	НДФЛ
18210102080011000110	НДФЛ
18210102080012100110	НДФЛ
18210102080012200110	НДФЛ
18210102080013000110	НДФЛ
18210102080014000110	НДФЛ
18210102080015000110	НДФЛ
18210102090011000110	НДФЛ
18210102090012100110	НДФЛ
18210102090012200110	НДФЛ
18210102090013000110	НДФЛ
18210102090014000110	НДФЛ
18210102090015000110	НДФЛ
18210102100011000110	НДФЛ
18210102100012100110	НДФЛ
18210102100012200110	НДФЛ
18210102100013000110	НДФЛ
18210102100014000110	НДФЛ
18210102100015000110	НДФЛ
18210102110011000110	НДФЛ
18210102110012100110	НДФЛ
18210102110012200110	НДФЛ
18210102110013000110	НДФЛ
18210102110014000110	НДФЛ
18210102110015000110	НДФЛ
18210102120011000110	НДФЛ
18210102120012100110	НДФЛ
18210102120012200110	НДФЛ
18210102120013000110	НДФЛ
18210102120014000110	НДФЛ
18210102120015000110	НДФЛ
18210202010061000160	ПФР
18210202010061010160	ПФР
18210202010062100160	ПФР
18210202010062110160	ПФР
18210202010062200160	ПФР
18210202010062210160	ПФР
18210202010063000160	ПФР
18210202010063010160	ПФР
18210202010064000160	ПФР
18210202010065000160	ПФР
18210202010065010160	ПФР
18210202020061000160	ПФР
18210202020062100160	ПФР
18210202020062200160	ПФР
18210202020063000160	ПФР
18210202020064000160	ПФР
18210202020065000160	ПФР
18210202031061000160	ПФР
18210202031062100160	ПФР
18210202031062200160	ПФР
18210202031063000160	ПФР
18210202031064000160	ПФР
18210202031065000160	ПФР
18210202032061000160	ПФР
18210202032062100160	ПФР
18210202032062200160	ПФР
18210202032063000160	ПФР
18210202032064000160	ПФР
18210202032065000160	ПФР
18210202090071000160	ФСС
18210202090071010160	ФСС
18210202090072100160	ФСС
18210202090072110160	ФСС
18210202090072200160	ФСС
18210202090072210160	ФСС
18210202090073000160	ФСС
18210202090073010160	ФСС
18210202090074000160	ФСС
18210202090075000160	ФСС
18210202090075010160	ФСС
18210202100061000160	ПФР
18210202100062100160	ПФР
18210202100062200160	ПФР
18210202100063000160	ПФР
18210202100064000160	ПФР
18210202100065000160	ПФР
18210202101081011160	ФОМС
18210202101081013160	ФОМС
18210202101082011160	ФОМС
18210202101082013160	ФОМС
18210202101082211160	ФОМС
18210202101082213160	ФОМС
18210202101083011160	ФОМС
18210202101083013160	ФОМС
18210202101084000160	ФОМС
18210202101085000160	ФОМС
18210202101085010160	ФОМС
18210202103081011160	ФОМС
18210202103081013160	ФОМС
18210202103082011160	ФОМС
18210202103082013160	ФОМС
18210202103082211160	ФОМС
18210202103082213160	ФОМС
18210202103083011160	ФОМС
18210202103083013160	ФОМС
18210202103084000160	ФОМС
18210202103085000160	ФОМС
18210202103085010160	ФОМС
18210202110061000160	ПФР
18210202110062100160	ПФР
18210202110062200160	ПФР
18210202110063000160	ПФР
18210202110064000160	ПФР
18210202110065000160	ПФР
18210202140061100160	ПФР
18210202140061110160	ПФР
18210202140062100160	ПФР
18210202140062110160	ПФР
18210202140062200160	ПФР
18210202140062210160	ПФР
18210202140063000160	ПФР
18210202140063010160	ПФР
18210202140064000160	ПФР
18210202140065000160	ПФР
18210202140065010160	ПФР
18210202150061000160	ПФР
18210202150062100160	ПФР
18210202150062200160	ПФР
18210202150063000160	ПФР
18210202150064000160	ПФР
18210202150065000160	ПФР
18210301000011000110	НДС
18210301000012100110	НДС
18210301000012200110	НДС
18210301000013000110	НДС
18210301000014000110	НДС
18210301000015000110	НДС
18210401000011000110	НДС
18210401000012100110	НДС
18210401000012200110	НДС
18210401000013000110	НДС
18210401000014000110	НДС
18210401000015000110	НДС
18210501011011000110	УСН
18210501011012100110	УСН
18210501011012200110	УСН
18210501011013000110	УСН
18210501011014000110	УСН
18210501011015000110	УСН
18210501012011000110	УСН
18210501012012100110	УСН
18210501012012200110	УСН
